latitud,longitud,cost
42.0075317923,-87.6817299122,27
41.946247229,-87.6553797446,27
41.8647392467,-87.6848799768,28
41.8524076842,-87.6923336629,28
41.9206281039,-87.7109388403,28
41.8700634258,-87.6866898057,28
41.9584723567,-87.7432564341,28
41.8534186769,-87.6668430625,28
41.8639804719,-87.6830219774,28
41.8976749976,-87.6632742046,28
41.95247065,-87.6549754287,28
41.8302612931,-87.6784744363,29
41.9294869404,-87.6413710218,29
41.9489925991,-87.7810515991,29
41.7914346676,-87.5938766868,29
41.836773606,-87.6486467205,29
41.8723705808,-87.7797562471,29
41.8728239138,-87.7973502118,29
41.8376635009,-87.6504393782,29
41.8060670964,-87.6206858724,29
41.9495066139,-87.7808078161,29
41.8020629444,-87.5922109113,29
41.961919301,-87.7357645907,29
42.0096515832,-87.6975263805,29
41.9497646331,-87.7808340548,29
41.9336121894,-87.7197664634,29
41.8008923503,-87.5984041573,29
41.9119299475,-87.6958211107,30
42.0156219887,-87.68818364,30
42.0153826334,-87.6887610269,30
41.9322088572,-87.7206641626,30
41.9425568135,-87.6464772027,30
42.0174063651,-87.6723260668,30
41.8044028041,-87.5855424602,30
41.7401304994,-87.5513471248,30
41.8474065193,-87.6905115825,30
41.9161366397,-87.7262610907,30
41.9337103879,-87.7208096018,30
41.7953566081,-87.5921920717,30
42.0014809121,-87.6714896888,30
41.8848517312,-87.7744535066,30
41.899612173,-87.6875398509,30
41.9604903456,-87.6555358457,30
41.9839393394,-87.7136976156,30
42.0215565258,-87.6714775343,30
41.8336857827,-87.6137772402,30
41.899612173,-87.6875398509,30
41.9337103879,-87.7208096018,30
42.0045292004,-87.6649803735,30
41.9105569869,-87.6776787959,30
41.9604903456,-87.6555358457,30
41.8538695413,-87.6545211849,30
41.8984770844,-87.6698131352,30
41.7646877576,-87.572148398,30
41.8814465042,-87.6959574422,30
41.9055352916,-87.6886222941,30
41.8512452048,-87.7019038728,30
41.8680502124,-87.6592630047,30
42.0171025093,-87.6884700204,30
41.8814465042,-87.6959574422,30
41.8984770844,-87.6698131352,30
41.916996894,-87.7070196399,30
42.0215565258,-87.6714775343,30
41.8844846387,-87.7740995855,30
41.8586508514,-87.6945131713,30
41.9435710607,-87.7254891385,30
41.9055352916,-87.6886222941,30
41.9576689311,-87.7327515037,30
41.8336857827,-87.6137772402,30
41.7943940859,-87.6801694855,30
41.9103129277,-87.6292863097,30
41.9105569869,-87.6776787959,30
42.0277918632,-87.6840540291,30
41.9764300362,-87.6988411816,30
41.7944871449,-87.5917738178,30
42.0169003105,-87.6890484321,30
41.8853790964,-87.7748677583,31
41.9331317628,-87.7041159144,31
41.9265828296,-87.7721715582,31
42.0172398939,-87.682357006,33
41.9462179439,-87.6443761937,34
41.7838408034,-87.72759176,34
41.8350412262,-87.6416102199,34
41.8520994674,-87.705065986,34
41.8539044125,-87.674794814,35
41.8546188294,-87.6724183432,35
41.9550037159,-87.6501692427,35
41.8831762382,-87.6956104145,35
41.7914669062,-87.6971103529,35
41.7948629849,-87.5838548876,35
41.8737128289,-87.6487025331,35
41.8499751083,-87.6762332652,35
41.923962128,-87.7698938657,35
41.896093572,-87.6206006685,35
41.9968642155,-87.8082845832,35
